id,label,categoryName,parent_id,degree,depth
1334134_8495017_5211307,Arts, Crafts & Sewing>Scrapbooking>Stickers,Stickers,1334134_8495017,0.0,3
1334134_1094704,Arts Crafts & Sewing>Sewing,Sewing,1334134,17.0,2
1334134_1094704_7898483,Arts, Crafts & Sewing>Sewing>Cross-Stitch,Cross-Stitch,1334134_1094704,0.0,3
1334134_1094704_4482863,Arts, Crafts & Sewing>Sewing>Dress Forms,Dress Forms,1334134_1094704,0.0,3
1334134_1094704_6363668,Arts, Crafts & Sewing>Sewing>Fills, Foam and Pillow Forms,Fills, Foam and Pillow Forms,1334134_1094704,0.0,3
1334134_1094704_7741860,Arts, Crafts & Sewing>Sewing>Needlepoint & Embroidery,Needlepoint & Embroidery,1334134_1094704,0.0,3
1334134_1094704_1882256,Arts Crafts & Sewing>Sewing>Notions & Sewing Accessories,Notions & Sewing Accessories,1334134_1094704,0.0,3
1334134_1094704_8516310,Arts, Crafts & Sewing>Sewing>Quilting,Quilting,1334134_1094704,0.0,3
1334134_1094704_5620176,Arts, Crafts & Sewing>Sewing>Ribbons, Trim & Embellishments,Ribbons, Trim & Embellishments,1334134_1094704,0.0,3
1334134_1094704_4161439,Arts, Crafts & Sewing>Sewing>Sewing & Cutting Tools,Sewing & Cutting Tools,1334134_1094704,0.0,3
1334134_1094704_1285621,Arts, Crafts & Sewing>Sewing>Sewing Kits,Sewing Kits,1334134_1094704,0.0,3
1334134_1094704_2312330,Arts, Crafts & Sewing>Sewing>Sewing Machine Accessories,Sewing Machine Accessories,1334134_1094704,0.0,3
1334134_1094704_4770,Arts Crafts & Sewing>Sewing>Sewing Machines,Sewing Machines,1334134_1094704,0.0,3
1334134_1094704_2616682,Arts, Crafts & Sewing>Sewing>Sewing Machines by Brand,Sewing Machines by Brand,1334134_1094704,0.0,3
1334134_1094704_8043380,Arts, Crafts & Sewing>Sewing>Sewing Machines Type,Sewing Machines Type,1334134_1094704,0.0,3
1334134_1094704_1095482,Arts, Crafts & Sewing>Sewing>Sewing Patterns,Sewing Patterns,1334134_1094704,0.0,3
1334134_1094704_5424186,Arts Crafts & Sewing>Sewing>Sewing Storage,Sewing Storage,1334134_1094704,0.0,3
1334134_1094704_1030599,Arts, Crafts & Sewing>Sewing>Sewing Tables,Sewing Tables,1334134_1094704,0.0,3
1334134_1094704_5763365,Arts, Crafts & Sewing>Sewing>Sewing Thread,Sewing Thread,1334134_1094704,0.0,3
1334134_4770,Arts, Crafts & Sewing>Sewing Machines,Sewing Machines,1334134,12.0,2
1334134_4770_4701045,Arts, Crafts & Sewing>Sewing Machines>Computerized Sewing Machine,Computerized Sewing Machine,1334134_4770,0.0,3
1334134_4770_5640097,Arts, Crafts & Sewing>Sewing Machines>Embroidery machines,Embroidery machines,1334134_4770,0.0,3
1334134_4770_6560205,Arts Crafts & Sewing>Sewing Machines>Handheld Sewing Machines,Handheld Sewing Machines,1334134_4770,0.0,3
1334134_4770_3284636,Arts, Crafts & Sewing>Sewing Machines>Heavy Duty Sewing Machines,Heavy Duty Sewing Machines,1334134_4770,0.0,3
1334134_4770_9594489,Arts, Crafts & Sewing>Sewing Machines>Janome Sewing Machines,Janome Sewing Machines,1334134_4770,0.0,3
1334134_4770_4786646,Arts Crafts & Sewing>Sewing Machines>Portable Sewing Machines,Portable Sewing Machines,1334134_4770,0.0,3
1334134_4770_8991465,Arts, Crafts & Sewing>Sewing Machines>Quilting Sewing Machine,Quilting Sewing Machine,1334134_4770,0.0,3
1334134_4770_6832992,Arts, Crafts & Sewing>Sewing Machines>Sergers,Sergers,1334134_4770,0.0,3
1334134_4770_3493192,Arts, Crafts & Sewing>Sewing Machines>Sewing Machines,Sewing Machines,1334134_4770,0.0,3
1334134_4770_5287445,Arts, Crafts & Sewing>Sewing Machines>Sewing Machines by Brand,Sewing Machines by Brand,1334134_4770,0.0,3
1334134_4770_4842101,Arts, Crafts & Sewing>Sewing Machines>Sewing Machines by Price,Sewing Machines by Price,1334134_4770,0.0,3
1334134_4770_4553195,Arts, Crafts & Sewing>Sewing Machines>Sewing Machines by Type,Sewing Machines by Type,1334134_4770,0.0,3
1334134_5186406,Arts, Crafts & Sewing>Silhouette,Silhouette,1334134,2.0,2
1334134_5186406_9026434,Arts, Crafts & Sewing>Silhouette>Silhouette Die Cut Accessories,Silhouette Die Cut Accessories,1334134_5186406,0.0,3
1334134_5186406_4522930,Arts, Crafts & Sewing>Silhouette>Silhouette Die Cut Machines,Silhouette Die Cut Machines,1334134_5186406,0.0,3
1334134_6868418,Arts, Crafts & Sewing>Singer,Singer,1334134,8.0,2
1334134_6868418_3008178,Arts, Crafts & Sewing>Singer>Singer,Singer,1334134_6868418,0.0,3
1334134_6868418_5391354,Arts, Crafts & Sewing>Singer>Singer Accessories,Singer Accessories,1334134_6868418,0.0,3
